mol,M-H,M-H[C13],M-H[2C13],M-Cl,M-Cl[C13],M+CH2O2-H,M+ACN-H,M-Cl[2C13],M+CH2O2-H[C13],M+ACN-H[C13],2M-H,M+NH3-H,M-2H,[M-H2O]-H,[M-CH2O2]-H,[M-CO]-H,[M-C2H2O2]-H,[M-CH4]-H,[M-CO2]-H,[M-C2H2]-H,M+CH2O2-H[2C13],M+ACN-H[2C13],2M-H[C13],M+NH3-H[C13],M-2H[C13],[M-H2O]-H[C13],[M-CH2O2]-H[C13],[M-CO]-H[C13],[M-C2H2O2]-H[C13],[M-CH4]-H[C13],[M-CO2]-H[C13],[M-C2H2]-H[C13],2M-H[2C13],2M-H[3C13],2M-H[4C13],M+NH3-H[2C13],M-2H[2C13],[M-H2O]-H[2C13],[M-CH2O2]-H[2C13],[M-CO]-H[2C13],[M-C2H2O2]-H[2C13],[M-CH4]-H[2C13],[M-CO2]-H[2C13],[M-C2H2]-H[2C13],[M-H2O]-Cl,[M-CH2O2]-Cl,[M-CO]-Cl,[M-C2H2O2]-Cl,[M-CH4]-Cl,[M-CO2]-Cl,[M-C2H2]-Cl,[M-H2O]-Cl[C13],[M-CH2O2]-Cl[C13],[M-CO]-Cl[C13],[M-C2H2O2]-Cl[C13],[M-CH4]-Cl[C13],[M-CO2]-Cl[C13],[M-C2H2]-Cl[C13],[M-H2O]+CH2O2-H,[M-CH2O2]+CH2O2-H,[M-CO]+CH2O2-H,[M-C2H2O2]+CH2O2-H,[M-CH4]+CH2O2-H,[M-CO2]+CH2O2-H,[M-C2H2]+CH2O2-H,[M-H2O]+ACN-H,[M-CH2O2]+ACN-H,[M-CO]+ACN-H,[M-C2H2O2]+ACN-H,[M-CH4]+ACN-H,[M-CO2]+ACN-H,[M-C2H2]+ACN-H,[M-H2O]-Cl[2C13],[M-CH2O2]-Cl[2C13],[M-CO]-Cl[2C13],[M-C2H2O2]-Cl[2C13],[M-CH4]-Cl[2C13],[M-CO2]-Cl[2C13],[M-C2H2]-Cl[2C13],[M-H2O]+CH2O2-H[C13],[M-CH2O2]+CH2O2-H[C13],[M-CO]+CH2O2-H[C13],[M-C2H2O2]+CH2O2-H[C13],[M-CH4]+CH2O2-H[C13],[M-CO2]+CH2O2-H[C13],[M-C2H2]+CH2O2-H[C13],[M-H2O]+ACN-H[C13],[M-CH2O2]+ACN-H[C13],[M-CO]+ACN-H[C13],[M-C2H2O2]+ACN-H[C13],[M-CH4]+ACN-H[C13],[M-CO2]+ACN-H[C13],[M-C2H2]+ACN-H[C13],[2M-H2O]-H,[2M-CH2O2]-H,[2M-CO]-H,[2M-C2H2O2]-H,[2M-CH4]-H,[2M-CO2]-H,[2M-C2H2]-H,[M-H2O]+NH3-H,[M-CH2O2]+NH3-H,[M-CO]+NH3-H,[M-C2H2O2]+NH3-H,[M-CH4]+NH3-H,[M-CO2]+NH3-H,[M-C2H2]+NH3-H,[M-H2O]-H-H,[M-CH2O2]-H-H,[M-CO]-H-H,[M-C2H2O2]-H-H,[M-CH4]-H-H,[M-CO2]-H-H,[M-C2H2]-H-H,[M-H2O]+CH2O2-H[2C13],[M-CH2O2]+CH2O2-H[2C13],[M-CO]+CH2O2-H[2C13],[M-C2H2O2]+CH2O2-H[2C13],[M-CH4]+CH2O2-H[2C13],[M-CO2]+CH2O2-H[2C13],[M-C2H2]+CH2O2-H[2C13],[M-H2O]+ACN-H[2C13],[M-CH2O2]+ACN-H[2C13],[M-CO]+ACN-H[2C13],[M-C2H2O2]+ACN-H[2C13],[M-CH4]+ACN-H[2C13],[M-CO2]+ACN-H[2C13],[M-C2H2]+ACN-H[2C13],[2M-H2O]-H[C13],[2M-CH2O2]-H[C13],[2M-CO]-H[C13],[2M-C2H2O2]-H[C13],[2M-CH4]-H[C13],[2M-CO2]-H[C13],[2M-C2H2]-H[C13],[M-H2O]+NH3-H[C13],[M-CH2O2]+NH3-H[C13],[M-CO]+NH3-H[C13],[M-C2H2O2]+NH3-H[C13],[M-CH4]+NH3-H[C13],[M-CO2]+NH3-H[C13],[M-C2H2]+NH3-H[C13],[M-H2O]-H-H[C13],[M-CH2O2]-H-H[C13],[M-CO]-H-H[C13],[M-C2H2O2]-H-H[C13],[M-CH4]-H-H[C13],[M-CO2]-H-H[C13],[M-C2H2]-H-H[C13],[2M-H2O]-H[2C13],[2M-H2O]-H[3C13],[2M-H2O]-H[4C13],[2M-CH2O2]-H[2C13],[2M-CH2O2]-H[3C13],[2M-CH2O2]-H[4C13],[2M-CO]-H[2C13],[2M-CO]-H[3C13],[2M-CO]-H[4C13],[2M-C2H2O2]-H[2C13],[2M-C2H2O2]-H[3C13],[2M-C2H2O2]-H[4C13],[2M-CH4]-H[2C13],[2M-CH4]-H[3C13],[2M-CH4]-H[4C13],[2M-CO2]-H[2C13],[2M-CO2]-H[3C13],[2M-CO2]-H[4C13],[2M-C2H2]-H[2C13],[2M-C2H2]-H[3C13],[2M-C2H2]-H[4C13],[M-H2O]+NH3-H[2C13],[M-CH2O2]+NH3-H[2C13],[M-CO]+NH3-H[2C13],[M-C2H2O2]+NH3-H[2C13],[M-CH4]+NH3-H[2C13],[M-CO2]+NH3-H[2C13],[M-C2H2]+NH3-H[2C13],[M-H2O]-H-H[2C13],[M-CH2O2]-H-H[2C13],[M-CO]-H-H[2C13],[M-C2H2O2]-H-H[2C13],[M-CH4]-H-H[2C13],[M-CO2]-H-H[2C13],[M-C2H2]-H-H[2C13]
Pantothenate,5.36e+06,5.51e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uracil,5.60e+06,2.46e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Cystine,7.93e+06,6.07e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurine,1.95e+08,4.48e+06,,,,,,,,,1.28e+07,,,,,,,,,,,,6.17e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoxanthine,5.72e+06,4.11e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oxoproline,1.03e+08,6.28e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Cystathionine,9.65e+05,8.76e+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betaine,4.16e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,8.21e+08,3.61e+07,6.42e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Phenylalanine,7.61e+06,2.98e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Citrulline,1.82e+06,1.30e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inosine,6.81e+05,,,,,,,,,,,,,,,,1.84e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanosine,2.50e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
